solver,family,seed,decisions,return,discounted_return,progress,mean_abs_d,max_abs_d,mean_abs_phi,mean_speed,brake_ratio,offroad,other_collision,duck_collision,timeout,goal,full_stops,stop_violations,passed_stops,stop_zone_decisions,duck_yield_decisions,duck_active_decisions,crossings,reason
sac,,1019,150,4.378148622169692,6.693512646813634,14.866979266786934,0.06525727857975215,0.12105062516286762,0.1259221947935081,0.10046009180302791,0.0,false,false,false,false,false,1,0,1,26,5,7,1,in_progress
sac,,1020,150,-19.821190440738174,-17.429080856665305,13.971693351048751,0.06218395111038608,0.1189995736398627,0.17492850509957053,0.09504863579383602,0.0,false,false,false,false,false,1,0,1,26,5,7,1,in_progress
sarsa,,1001,150,12.863788227311963,6.804015348802325,17.484562498901575,0.034736117485248894,0.0903748124268252,0.1523295805248408,0.11844215404571881,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
sarsa,,1002,150,12.659584866001973,6.957936094374017,17.615519425194215,0.030210771247852666,0.08038725691702771,0.16479585562957821,0.11923509799704,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
sarsa,,1003,150,37.938397764498994,22.96649690192423,25.849829493785265,0.03198802058626604,0.07924196654275226,0.09209012279926751,0.1734237996492098,0.06666666666666667,false,false,false,false,false,1,0,1,17,4,7,1,in_progress
sarsa,,1004,47,-199.76891522994106,-125.12067081923881,6.199957647296842,0.05028810135117054,0.25,0.2984407122269408,0.15058043143836997,0.02127659574468085,true,false,false,false,false,0,0,0,0,0,7,1,offroad
sarsa,,1005,150,12.009080218885092,6.4333861785375595,17.469817472638688,0.036485680502754324,0.09531302955159841,0.1747643466480114,0.11860922140296624,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
sarsa,,1006,150,11.334384370741132,5.831316084685137,16.611432072571844,0.04190702212856039,0.0893198003529665,0.17286627416943728,0.1128713657968616,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
sarsa,,1007,150,37.42464926239869,17.81528078320243,25.27149745361186,0.022003017243103776,0.05000719166773685,0.10320366761251815,0.16966450688226153,0.06666666666666667,false,false,false,false,false,1,0,1,18,4,7,1,in_progress
sarsa,,1008,150,12.186768847644432,6.38539789901259,17.189201894792483,0.03522117440312893,0.0897162060256555,0.1657198350806863,0.11652210626073217,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
sarsa,,1009,150,12.826584941186562,6.769738830295694,17.6288136310558,0.03423880654672358,0.07968003657000933,0.16495587204570247,0.11940215222744217,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
sarsa,,1010,150,13.100474048806564,6.868548590099742,17.654425361514257,0.03952612555139979,0.09037932685169209,0.1482676618900232,0.119402153274988,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
sarsa,,1011,150,37.35542623070216,23.269331032436813,25.112942718540516,0.019357825924219967,0.04584445114186897,0.10345527486233272,0.16856458468990257,0.06666666666666667,false,false,false,false,false,1,0,1,17,4,7,1,in_progress
